id;nomutilisateur;motdepasse;mail;role
1;IB connecting;protocol azure fuchsia;Rial microchip;Administrateur
2;Soap Handcrafted;Rivoli drive;overriding drive;Soignant
3;Corse;Down-sized;transmitting Intelligent;Medecin
4;archive Provence-Alpes-Côte;calculating Belize bifurcated;index Ouguiya AGP;Administrateur
5;c;Provence;EXE;Administrateur
6;yellow;Uzbekistan;Centralized mission-critical;Soignant
7;orchestrate virtual Kenya;Montmorency Up-sized connect;Aquitaine a navigate;Medecin
8;Agent SSL c;architect transmitter;copy internet Loan;Medecin
9;a;a Rustic ADP;optimize;Soignant
10;a Right-sized generate;core blue;Hat Pound channels;Administrateur
